DEVELOPER_ID,NAME
1123,Argus Games
1124,Aric Morrow
1125,Aries-Lenov
1126,Arif Games
1127,Ariflare
1128,Ariganu
1129,Arise
1130,Aristotelis Giannakopoulos
1131,Arjuna Games
1132,ArkHouse
1133,Arkane Studios
1134,Arkavi Studios
1135,Arkedo
1136,Arkenstone Games
1137,Arkraptor
1138,Arli Tuominen
1139,Armadillo Game Studios
1140,Armadillo Studios
1141,Armagedoom Games
1142,Arman Karshenas
1143,Armando
1144,Armatur Games
1145,Armature Studio
1146,Armet Games
1147,Armitage Games
1148,Armnomads LLC
1149,Armogaste
1150,Armoured Beans
1151,Army Game Studio
1152,Arnaud De Bock
1153,Arnold Rauers
1154,Aron Miller
1155,Arran Langmead
1156,Arrible
1157,Arrogant Pixel
1158,ArrowGroundGames
1159,Arrowhead Game Studios
1160,Arrowiz
1161,Ars Creativa
1162,Art Games
1163,Art Of Adventures
1164,Art in Heart
1165,Art of The Rush
1166,Art-Arcade
1167,ArtVostok
1168,Artaani
1169,Artalasky
1170,Artax Games
1171,Artbox Games
1172,Artdink
1173,ArteG
1174,ArtePiazza
1175,Artech Studios
1176,Artefact Assembly
1177,Artefacts Studio
1178,Artefacts Studios
1179,Artem Bondin
1180,Artem Kotov
1181,Artematica Entertainment
1182,ArtemizGame
1183,Artepi Corporation
1184,Artery Games
1185,Arthur Doggo
1186,Arthur Parker
1187,Arthur Pernot
1188,ArticNet
1189,Artifact 5
1190,Artifex Mundi
1191,Artifice Studio
1192,Artificer Cascadia
1193,Artificer Creator
1194,Artificient Games Inc.
1195,Artii Games LLC
1196,Artisano
1197,Artisiti
1198,Artist Suvi Solkio
1199,Artists Entertainment
1200,"Artix Entertainment, LLC"
1201,Artless Games
1202,Artnumeris
1203,Artogon
1204,Artogon Corp.
1205,Artoncode™
1206,Artplant
1207,Artsy Sayuri
1208,Arttu Tuovinen
1209,Artur Berkowski Berobasket
1210,Artur Games
1211,Artur Mandas
1212,Artur Petrov
1213,Artur Rezende
1214,Artyom Laletin
1215,Arupaca Laboratories
1216,Arvi Teikari
1217,Arzolas
1218,As-key
1219,Ascanio Entertainment
1220,Ascaron
1221,Ascaron Entertainment ltd.
1222,Ascendant Studio
1223,Ascendence Studios
1224,Ascension Dream
1225,Ascension Interactive Media
1226,Ashdar Games
1227,AsicxArt
1228,Asixa
1229,Ask An Enemy Studios
1230,Askiisoft
1231,Aslak Studio
1232,Aslan Game Studio
1233,Asmodee Digital
1234,Asobo Studio
1235,Aspyr
1236,Aspyr (Linux)
1237,Aspyr (Mac & Linux)
1238,Aspyr (Mac)
1239,"Aspyr (Mac, Linux, & Windows Update)"
1240,Aspyr Studios
1241,Assemble Entertainment
1242,Astalo Games
1243,Asteristic Game Studio
1244,Asteroid Base
1245,Astra Game Studio
1246,Astral Byte Ltd.
1247,Astralax
1248,AstroBear Games
1249,Astrobot
1250,Astrocat Studios
1251,Astrofish Games
1252,Astrojone
1253,Astronomic Games
1254,Astrosimer
1255,Asylum Entertainment Inc.
1256,Asylum entertainment
1257,Asymmetric
1258,Asymptotic Games
1259,AtGames
1260,Atakote Studios
1261,Atansoft
1262,Atapki
1263,Atara Games
1264,Atarei
1265,Ataverti
1266,Ate134
1267,Atelier 801
1268,Atelier Melon-Kissa
1269,Aterdux Entertainment
1270,Athena Works
1271,Atixx
1272,Atmosphere Entertainment Studios
1273,Atom Republic
1274,"Atom Switch, Inc."
1275,AtomTeam
1276,Atomic Drop Games
1277,Atomic Fabrik
1278,Atomic Jelly
1279,Atomic Piñata
1280,Atomic Planet
1281,Atomic Pond Studios
1282,Atomic Raccoon Studio
1283,Atomic Wolf
1284,Atomic-Invasion
1285,AtomicTorch Studio
1286,Atomicom
1287,Atomicom Limited
1288,Ator Neba
1289,Atorasoft
1290,Atrax Games
1291,Atreyu Games Pty. Ltd.
1292,Atriagames
1293,Attila D.
1294,Attila Vitez
1295,Attract Mode Games
1296,Attraction Studios
1297,Attu Games
1298,Atum Software
1299,Atypical Games
1300,Aubrey Isaacman
1301,Auburn Sounds
1302,Augusto Gómez Eguíluz
1303,Auld Games
